OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AZ,USGS Arizona Water Science Center,AZ014-312040109153501,D-24-30 14BDA2 UNSURV,Well,,15080302,,,,,31.34454829000000,-109.2603377000000,24000,5,seconds,Interpolated from MAP.,NAD83,3742.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,19910620,580,ft,580,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-312058109322601,D-24-28 07CDC,Well,,15080301,,,,,31.34982475000000,-109.5406224000000,24000,5,seconds,Interpolated from MAP.,NAD83,4025.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,461,ft,461,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-312125109220101,D-24-29 11BDC,Well,,15080302,,,,,31.35788075000000,-109.3675628000000,24000,5,seconds,Interpolated from MAP.,NAD83,4151.,feet,1,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,260,ft,260,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-312245109554701,D-24-24 05AAB,Well,,15050202,,,,,31.37926775000000,-109.9220186000000,24000,5,seconds,Interpolated from MAP.,NAD83,4798.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-312246110021401,D-24-23 06AAA2,Well,,15050202,,,,,31.37996208000000,-110.0386317000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,4422.,feet,12,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,19780417,400,ft,400,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-312427109204001,D-23-29 25ABB,Well,,15080302,,,,,31.40760156000000,-109.3450627000000,24000,5,seconds,Interpolated from MAP.,NAD83,4100.,feet,5,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-312527110143401,D-23-21 18DDC,Well,,15050202,,,,,31.42426613000000,-110.2434128000000,24000,10,seconds,Interpolated from MAP.,NAD83,4905.,feet,12,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-312619109314501,D-23-28 07DDA,Well,,15080301,,,,,31.43871085000000,-109.5297896000000,24000,5,seconds,Interpolated from MAP.,NAD83,4215.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-312825110093601,D-22-21 36DBA,Well,,15050202,,,,,31.47370908000000,-110.1606345000000,24000,5,seconds,Interpolated from MAP.,NAD83,4330.,feet,12,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-312828109234801,D-27-29 33ACB,Well,,15080302,,,,,31.47454364000000,-109.3972869000000,24000,10,seconds,Interpolated from MAP.,NAD83,4470.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-313158109180401,D-22-30 08ADA,Well,,15080302,,,,,31.53287640000000,-109.3017293000000,24000,5,seconds,Interpolated from MAP.,NAD83,4560.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,1940,790,ft,790,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-313444109364701,D-21-27 29ADA,Well,,15080301,,,,,31.57898510000000,-109.6136800000000,24000,5,seconds,Interpolated from MAP.,NAD83,4300.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-313758109104701,D-21-31 03BCD2-AZ014,Well,,15040006,,,,,31.63287600000000,-109.1795045000000,24000,5,seconds,Interpolated from MAP.,NAD83,4570.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,35,ft,35,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-313941109390601,D-20-26 25CBC,Well,,15080301,,,,,31.66092760000000,-109.6522912000000,24000,5,seconds,Interpolated from MAP.,NAD83,4158.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,300,ft,300,ft,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-314143110104301,D-20-21 14BCC  UNSURV,Well,,15050202,,,,,31.69536866000000,-110.1792442000000,24000,5,seconds,Interpolated from MAP.,NAD83,3887.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,AZ014-314204110224201,D-20-19 14BAB,Well,,15050202,,,,,31.70117330000000,-110.3789387000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,4480,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,003,Basin and Range carbonate-rock aquifers,,,19711115,455,ft,455,ft,NWIS
